trans_period,DevelopmentRegion,RegionalDistrict,,tot_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-06-01,Cariboo,CARIBOO,,64,41,20,,1,,16,4,,,,,,,2,21,,11625343.00,181646.00,150000.00,148887.51,1500.00
2016-06-08,Cariboo,CARIBOO,,45,40,14,2,3,,19,1,,1,2,2,,,1,2,,9047015.00,201044.80,175000.00,119627.05,1750.00
2016-06-15,Cariboo,CARIBOO,,50,45,12,,2,4,24,1,,2,2,2,,,2,,1,14664389.00,293287.80,236500.00,211009.50,2730.00
2016-06-22,Cariboo,CARIBOO,,137,117,35,1,5,2,71,1,,2,4,4,,,3,8,5,33479703.00,244377.40,232500.00,448915.22,2650.00
2016-07-01,Cariboo,CARIBOO,,25,23,9,,2,,11,1,,,,,,,2,,,4000650.00,160026.00,157000.00,49179.00,1570.00
2016-07-08,Cariboo,CARIBOO,,50,47,19,1,,,22,5,,,,,,,3,,,8190413.00,163808.30,119750.00,100881.00,1197.50
2016-07-15,Cariboo,CARIBOO,,61,54,23,1,1,,28,,,1,5,3,,2,2,,,12712136.00,208395.70,198000.00,161625.36,1980.00
2016-07-22,Cariboo,CARIBOO,,94,90,26,1,2,1,58,2,,,1,1,,,1,2,,21000039.00,223404.70,207500.00,274785.39,2150.00
2016-08-01,Cariboo,CARIBOO,,31,25,11,,,,14,,,,,,,,,6,,6055800.00,195348.40,193000.00,74326.00,1930.00
2016-08-08,Cariboo,CARIBOO,,37,36,11,,,,22,2,,1,1,1,,,,,,7085750.00,191506.80,196000.00,89058.50,1960.00
2016-08-15,Cariboo,CARIBOO,,64,58,15,1,,,39,3,,,,,,,2,4,,14115079.00,220548.10,230500.00,188461.27,2610.00
2016-08-22,Cariboo,CARIBOO,,77,73,23,,2,1,44,2,,1,,,,,2,2,,16464950.00,213830.50,215000.00,205512.00,2300.00
2016-09-01,Cariboo,CARIBOO,,44,42,13,2,1,1,24,1,,,,,,,1,,1,7312511.00,166193.40,158500.00,83749.11,1585.00
2016-09-08,Cariboo,CARIBOO,,24,22,8,,2,1,10,1,,,,,,,,2,,4042001.00,168416.70,128500.00,53640.01,1285.00
2016-09-15,Cariboo,CARIBOO,,55,48,18,,1,,24,5,,,4,2,,2,1,1,1,9753550.00,177337.30,140000.00,123815.50,1400.00
2016-09-22,Cariboo,CARIBOO,,85,82,15,1,1,1,47,1,,16,2,2,,,,1,,21067588.00,247854.00,210000.00,294873.74,2200.00
2016-10-01,Cariboo,CARIBOO,,36,34,6,,,,23,1,,4,,,,,2,,,5402476.00,150068.80,112500.00,64634.76,1125.00
2016-10-08,Cariboo,CARIBOO,,33,31,11,,2,,13,,1,4,,,,,,,2,6152072.00,186426.40,183700.00,76265.73,1837.00
2016-10-15,Cariboo,CARIBOO,,37,34,7,,3,1,21,1,,1,2,,,2,1,,,6927523.00,187230.40,130000.00,90901.43,1300.00
2016-10-22,Cariboo,CARIBOO,,60,59,17,,2,,13,3,,24,1,1,,,,,,17015117.00,283585.30,236000.00,246395.17,2720.00
2016-06-01,Cariboo,FRASER-FORT GEORGE,,70,63,11,1,1,2,44,1,,3,7,4,,3,,,,19615252.00,280217.90,230000.00,246280.96,2340.00
2016-06-08,Cariboo,FRASER-FORT GEORGE,,49,42,8,,,,31,2,,1,6,6,,,1,,,16346909.00,333610.40,272500.00,242673.49,3400.00
2016-06-15,Cariboo,FRASER-FORT GEORGE,,65,62,12,,,1,42,7,,,2,2,,,,1,,17447001.00,268415.40,275000.00,219719.63,3400.00
2016-06-22,Cariboo,FRASER-FORT GEORGE,,158,157,25,1,1,,116,10,,4,,,,,1,,,44126740.00,279283.20,258700.00,579128.01,3100.00
2016-07-01,Cariboo,FRASER-FORT GEORGE,,46,44,12,,,,23,4,,5,,,,,2,,,12531271.00,272418.90,240000.00,154315.00,2750.00
2016-07-08,Cariboo,FRASER-FORT GEORGE,,77,73,13,,,3,47,7,,3,1,1,,,2,1,,19510060.00,253377.40,260000.00,250110.20,3000.00
2016-07-15,Cariboo,FRASER-FORT GEORGE,,74,70,10,,1,,41,3,,15,4,4,,,,,,20700191.00,279732.30,187500.00,323483.70,1772.50
2016-07-22,Cariboo,FRASER-FORT GEORGE,,92,92,10,1,1,,71,7,,2,,,,,,,,23250710.00,252725.10,252750.00,290464.18,2940.00
2016-08-01,Cariboo,FRASER-FORT GEORGE,,49,45,5,1,,1,34,2,,2,2,2,,,,,2,17219031.00,351408.80,246095.20,270739.62,2921.90
2016-08-08,Cariboo,FRASER-FORT GEORGE,,39,38,12,,,,23,2,,1,,,,,,1,,8039000.00,206128.20,229900.00,102928.00,2598.00
2016-08-15,Cariboo,FRASER-FORT GEORGE,,67,66,16,,1,,45,2,,2,1,,,1,,,,17851408.00,266438.90,248500.00,245412.37,2970.00
2016-08-22,Cariboo,FRASER-FORT GEORGE,,123,116,17,,,,87,11,,1,2,2,,,5,,,28850198.00,234554.50,238000.00,360039.31,2640.00
2016-09-01,Cariboo,FRASER-FORT GEORGE,,54,54,7,1,,,35,9,,2,,,,,,,,13277772.00,245884.70,223500.00,162513.42,2012.50
2016-09-08,Cariboo,FRASER-FORT GEORGE,,47,46,6,,,,35,3,,2,,,,,1,,,11439771.00,243399.40,232500.00,145988.43,2650.00
2016-09-15,Cariboo,FRASER-FORT GEORGE,,55,53,7,,,,42,3,,1,2,2,,,,,,13810136.00,251093.40,227900.00,172112.53,2400.00
2016-09-22,Cariboo,FRASER-FORT GEORGE,,99,95,9,5,1,1,57,11,,11,2,1,,1,2,,,27322478.00,275984.60,262500.00,363060.88,3150.00
2016-10-01,Cariboo,FRASER-FORT GEORGE,,50,47,7,,,,36,,,4,3,2,,1,,,,11385320.00,227706.40,241201.50,137929.58,2352.50
2016-10-08,Cariboo,FRASER-FORT GEORGE,,67,62,20,,4,,30,4,,4,2,2,,,,2,1,16095434.00,240230.40,220000.00,209950.04,2400.00
2016-10-15,Cariboo,FRASER-FORT GEORGE,,44,43,9,,,,30,2,,2,,,,,,,1,10821861.00,245951.40,257750.00,125853.44,2649.00
2016-10-22,Cariboo,FRASER-FORT GEORGE,,95,89,10,1,,1,50,2,,25,6,2,,4,,,,26991545.00,284121.50,256500.00,362674.05,3000.00
2016-06-01,Kootenay,CENTRAL KOOTENAY,,53,53,13,1,,2,32,3,,2,,,,,,,,14652791.00,276467.70,244000.00,204466.74,2800.00
2016-06-08,Kootenay,CENTRAL KOOTENAY,,30,26,9,,,,15,1,,1,4,3,,1,,,,8847298.00,294909.90,265000.00,126805.22,3300.00
2016-06-15,Kootenay,CENTRAL KOOTENAY,,39,38,12,3,1,,21,1,,,1,1,,,,,,9899115.00,253823.50,269000.00,131908.98,3380.00
2016-06-22,Kootenay,CENTRAL KOOTENAY,,118,111,23,2,,1,75,9,,1,5,5,,,2,,,34079296.00,288807.60,240000.00,505389.96,2780.00
2016-07-01,Kootenay,CENTRAL KOOTENAY,,18,18,3,2,,,12,1,,,,,,,,,,4346515.00,241473.10,257750.00,57636.65,3155.00
2016-07-08,Kootenay,CENTRAL KOOTENAY,,45,44,12,,,,31,1,,,,,,,,1,,10094230.00,224316.20,210000.00,130028.52,2200.00
2016-07-15,Kootenay,CENTRAL KOOTENAY,,44,42,15,1,1,,24,1,,,,,,,2,,,11012722.00,250289.10,205000.00,149928.92,2100.00
2016-07-22,Kootenay,CENTRAL KOOTENAY,,91,91,15,,3,,65,7,,1,,,,,,,,23067287.00,253486.70,240000.00,313434.87,2800.00
2016-08-01,Kootenay,CENTRAL KOOTENAY,,38,37,9,,,,24,4,,,1,1,,,,,,13140966.00,345814.90,331000.00,180851.80,4510.00
2016-08-08,Kootenay,CENTRAL KOOTENAY,,24,24,5,2,,1,13,3,,,,,,,,,,5606450.00,233602.10,217500.00,72726.00,2350.00
2016-08-15,Kootenay,CENTRAL KOOTENAY,,50,46,8,1,,,34,3,,,4,4,,,,,,15566100.00,311322.00,255000.00,222310.54,3075.00
2016-08-22,Kootenay,CENTRAL KOOTENAY,,71,66,12,1,,,47,2,,4,1,1,,,2,,2,20009272.00,281820.70,278000.00,253291.44,3000.00
2016-09-01,Kootenay,CENTRAL KOOTENAY,,31,30,6,,,,21,3,,,,,,,1,,,9812450.00,316530.60,354000.00,139296.50,5080.00
2016-09-08,Kootenay,CENTRAL KOOTENAY,,27,27,3,,1,,22,1,,,,,,,,,,6939526.00,257019.50,220000.00,83557.57,2000.00
2016-09-15,Kootenay,CENTRAL KOOTENAY,,45,44,7,,,2,26,5,,4,,,,,1,,,10039153.00,223092.30,192000.00,129499.53,1920.00
2016-09-22,Kootenay,CENTRAL KOOTENAY,,67,65,14,4,,,30,6,,11,1,1,,,1,,,20878171.00,311614.50,302000.00,297544.39,4040.00
2016-10-01,Kootenay,CENTRAL KOOTENAY,,33,27,6,,,,17,1,,3,1,1,,,4,,1,6483362.00,196465.50,150000.00,86696.61,1500.00
2016-10-08,Kootenay,CENTRAL KOOTENAY,,27,26,5,1,,,18,2,,,,,,,1,,,6889674.00,255173.10,260000.00,86510.50,2960.00
2016-10-15,Kootenay,CENTRAL KOOTENAY,,32,29,2,1,1,,13,2,,10,1,1,,,1,1,,9505175.00,297036.70,278750.00,116748.76,3372.00
2016-10-22,Kootenay,CENTRAL KOOTENAY,,88,86,6,,,,29,3,,48,,,,,1,1,,29250131.00,332387.90,330500.00,341626.42,3591.00
2016-06-01,Kootenay,EAST KOOTENAY,,49,45,3,1,,,28,12,,1,2,2,,,2,,,11637826.00,237506.70,200000.00,150347.02,2000.00
2016-06-08,Kootenay,EAST KOOTENAY,,31,28,3,,,,20,4,,1,3,3,,,,,,8855150.00,285650.00,250000.00,128406.50,3000.00
2016-06-15,Kootenay,EAST KOOTENAY,,62,59,2,,2,2,41,11,,1,1,,,1,2,,,15896615.00,256397.00,224000.00,216940.92,2480.00
2016-06-22,Kootenay,EAST KOOTENAY,,99,95,5,1,,,71,16,,2,2,1,,1,2,,,27111891.00,273857.50,250000.00,371314.69,2930.00
2016-07-01,Kootenay,EAST KOOTENAY,,25,21,,,,,16,4,,1,,,,,4,,,5275598.00,211023.90,187500.00,68260.98,1875.00
2016-07-08,Kootenay,EAST KOOTENAY,,32,31,3,,,,18,9,,1,,,,,1,,,8287935.00,258998.00,247500.00,107509.35,2600.00
2016-07-15,Kootenay,EAST KOOTENAY,,56,54,1,1,2,,37,6,,7,1,1,,,1,,,15194850.00,271336.60,245000.00,203583.50,2900.00
2016-07-22,Kootenay,EAST KOOTENAY,,71,62,4,,,2,47,9,,,4,4,,,5,,,19622738.00,276376.60,243280.00,276161.96,2865.60
2016-08-01,Kootenay,EAST KOOTENAY,,34,31,,,,,24,7,,,2,1,,1,,,1,17017650.00,500519.10,266250.00,322299.50,3325.00
2016-08-08,Kootenay,EAST KOOTENAY,,21,17,1,,,1,13,2,,,2,1,,1,1,1,,5912061.00,281526.70,260000.00,85970.61,3200.00
2016-08-15,Kootenay,EAST KOOTENAY,,56,54,2,,1,1,36,12,,2,1,1,,,1,,,14615030.00,260982.70,235750.00,195281.30,2470.00
2016-08-22,Kootenay,EAST KOOTENAY,,58,55,4,,,2,30,14,1,4,2,1,,1,1,,,18440277.00,317935.80,226000.00,266767.77,2470.00
2016-09-01,Kootenay,EAST KOOTENAY,,51,50,2,,,1,32,15,,,1,1,,,,,,14650822.00,287271.00,242500.00,200899.45,2850.00
2016-09-08,Kootenay,EAST KOOTENAY,,30,30,1,1,1,,21,6,,,,,,,,,,7894876.00,263162.50,247750.00,107748.76,2955.00
2016-09-15,Kootenay,EAST KOOTENAY,,37,35,3,1,1,,24,5,,1,,,,,2,,,11175400.00,302037.80,270000.00,163212.76,3400.00
2016-09-22,Kootenay,EAST KOOTENAY,,95,87,3,1,1,,45,10,2,25,5,3,,2,2,,1,30013050.00,315926.80,263000.00,431984.50,3260.00
2016-10-01,Kootenay,EAST KOOTENAY,,42,42,7,1,,,22,7,1,4,,,,,,,,10422653.00,248158.40,230000.00,146703.06,2600.00
2016-10-08,Kootenay,EAST KOOTENAY,,68,63,4,,,,50,5,,4,2,2,,,2,,1,17005238.00,250077.00,230000.00,218721.41,2600.00
2016-10-15,Kootenay,EAST KOOTENAY,,28,21,1,,,,9,5,,6,,,,,6,1,,5789985.00,206785.20,215000.00,74440.60,2300.00
2016-10-22,Kootenay,EAST KOOTENAY,,68,65,2,,,,38,9,,16,3,2,,1,,,,19169905.00,281910.40,217700.00,265378.02,2274.00
2016-06-01,Kootenay,KOOTENAY BOUNDARY,,29,28,4,1,2,,15,6,,,,,,,1,,,6580500.00,226913.80,217000.00,84294.00,2340.00
2016-06-08,Kootenay,KOOTENAY BOUNDARY,,17,17,2,1,,,14,,,,,,,,,,,3793800.00,223164.70,206000.00,47943.00,2120.00
2016-06-15,Kootenay,KOOTENAY BOUNDARY,,31,30,4,,,,21,5,,,1,1,,,,,,6695090.00,215970.60,225000.00,80287.90,2200.00
2016-06-22,Kootenay,KOOTENAY BOUNDARY,,73,69,11,,,,51,5,1,1,1,1,,,2,1,,16633242.00,227852.60,195000.00,219852.42,1950.00
2016-07-01,Kootenay,KOOTENAY BOUNDARY,,13,13,2,,1,,10,,,,,,,,,,,2301950.00,177073.10,180000.00,28434.50,1800.00
2016-07-08,Kootenay,KOOTENAY BOUNDARY,,14,12,2,,,,9,1,,,1,1,,,1,,,3149000.00,224928.60,234000.00,38620.00,2680.00
2016-07-15,Kootenay,KOOTENAY BOUNDARY,,31,30,6,1,,,18,5,,,,,,,1,,,6290591.00,202922.30,198643.40,74259.88,1986.43
2016-07-22,Kootenay,KOOTENAY BOUNDARY,,43,39,5,,,,28,4,,2,1,,,1,3,,,10739489.00,249755.60,210000.00,148047.78,2200.00
2016-08-01,Kootenay,KOOTENAY BOUNDARY,,11,10,1,,,,7,2,,,1,1,,,,,,1899000.00,172636.40,149500.00,22280.00,1495.00
2016-08-08,Kootenay,KOOTENAY BOUNDARY,,18,15,5,,,1,9,,,,3,3,,,,,,4089200.00,227177.80,231750.00,51017.00,2635.00
2016-08-15,Kootenay,KOOTENAY BOUNDARY,,20,20,1,,,,16,2,,1,,,,,,,,5028667.00,251433.30,161250.00,71156.67,1612.50
2016-08-22,Kootenay,KOOTENAY BOUNDARY,,41,38,5,,,,29,4,,,3,3,,,,,,8251000.00,201243.90,170000.00,103900.00,1700.00
2016-09-01,Kootenay,KOOTENAY BOUNDARY,,17,14,,,,,13,1,,,3,3,,,,,,3437700.00,202217.60,182000.00,43267.00,1820.00
2016-09-08,Kootenay,KOOTENAY BOUNDARY,,10,10,1,,,,9,,,,,,,,,,,2794200.00,279420.00,213750.00,41693.00,2387.50
2016-09-15,Kootenay,KOOTENAY BOUNDARY,,15,14,,,,,14,,,,,,,,1,,,2651037.00,176735.80,149236.50,30264.37,970.00
2016-09-22,Kootenay,KOOTENAY BOUNDARY,,44,39,2,,,,26,4,,7,4,1,,3,1,,,10057045.00,228569.20,197500.00,133234.90,1975.00
2016-10-01,Kootenay,KOOTENAY BOUNDARY,,10,9,,,,,9,,,,1,,,1,,,,1577800.00,157780.00,152000.00,13218.00,1371.50
2016-10-08,Kootenay,KOOTENAY BOUNDARY,,25,25,3,,,,20,,,2,,,,,,,,4831117.00,193244.70,180000.00,57912.84,1800.00
2016-10-15,Kootenay,KOOTENAY BOUNDARY,,15,13,2,,,,11,,,,1,1,,,,,1,2747500.00,183166.70,138000.00,33685.00,1380.00
2016-10-22,Kootenay,KOOTENAY BOUNDARY,,29,27,1,1,,,16,,,9,1,1,,,1,,,5615714.00,193645.30,173000.00,69091.14,1730.00
2016-06-01,Mainland/Southwest,FRASER VALLEY,,218,211,13,1,4,,135,50,1,7,,,,,3,4,,99634065.00,457037.00,416250.00,1517628.17,5870.00
2016-06-08,Mainland/Southwest,FRASER VALLEY,,171,167,7,3,3,,90,43,1,20,4,3,1,,,,,79175402.00,463014.00,365000.00,1201376.51,4803.42
2016-06-15,Mainland/Southwest,FRASER VALLEY,,276,271,12,2,6,,168,71,,12,2,2,,,3,,,123731443.00,448302.30,412750.00,1841612.14,5808.46
2016-06-22,Mainland/Southwest,FRASER VALLEY,,863,847,22,6,20,4,536,226,2,31,10,7,,3,3,3,,433147975.00,501909.60,450000.00,6909595.45,6600.00
2016-07-01,Mainland/Southwest,FRASER VALLEY,,241,228,7,,9,,148,53,1,10,8,5,2,1,5,,,98752478.00,409761.30,389000.00,1510548.45,5500.00
2016-07-08,Mainland/Southwest,FRASER VALLEY,,274,269,9,1,3,3,166,72,2,13,1,1,,,3,1,,132071578.00,482013.10,439450.00,2025286.76,5916.50
2016-07-15,Mainland/Southwest,FRASER VALLEY,,254,239,8,1,2,3,139,57,5,24,10,8,,2,5,,,117334385.00,461946.40,400000.00,1748409.22,5025.00
2016-07-22,Mainland/Southwest,FRASER VALLEY,,662,649,19,,5,,409,188,,28,8,5,,3,,5,,314427588.00,474966.10,439950.00,4785516.57,6349.00
2016-08-01,Mainland/Southwest,FRASER VALLEY,,219,210,6,,5,1,130,51,,17,5,3,1,1,2,2,,125693156.00,573941.40,380000.00,2182449.63,5170.00
2016-08-08,Mainland/Southwest,FRASER VALLEY,,175,172,12,7,4,,86,53,2,8,,,,,3,,,82904543.00,473740.20,436000.00,1282289.66,6300.00
2016-08-15,Mainland/Southwest,FRASER VALLEY,,238,234,3,1,4,2,142,73,,9,4,3,1,,,,,107591274.00,452064.20,432000.00,1612295.48,5970.00
2016-08-22,Mainland/Southwest,FRASER VALLEY,,697,677,30,6,12,,413,191,1,24,9,5,,4,3,5,3,360662896.00,517450.40,454285.70,5758243.02,6798.00
2016-09-01,Mainland/Southwest,FRASER VALLEY,,201,185,6,1,2,,114,51,,11,6,2,1,3,7,2,1,94361805.00,469461.70,410000.00,1489263.92,6000.00
2016-09-08,Mainland/Southwest,FRASER VALLEY,,161,151,7,1,5,1,83,45,,9,5,3,1,1,4,1,,89717627.00,557252.30,420000.00,1584569.69,6400.00
2016-09-15,Mainland/Southwest,FRASER VALLEY,,206,197,9,,3,,95,45,,45,2,2,,,1,6,,106396013.00,516485.50,370000.00,1677974.98,4949.00
2016-09-22,Mainland/Southwest,FRASER VALLEY,,526,519,14,3,9,1,234,131,1,126,4,1,3,,1,1,1,240173163.00,456603.00,397500.00,3594679.04,5627.00
2016-10-01,Mainland/Southwest,FRASER VALLEY,,159,152,11,6,3,1,57,29,1,44,5,4,,1,1,1,,92821246.00,583781.40,393000.00,1583955.62,4200.00
2016-10-08,Mainland/Southwest,FRASER VALLEY,,213,167,5,2,4,,75,48,1,32,35,,2,33,9,2,,100336116.00,471061.60,395642.40,1508561.70,5000.00
2016-10-15,Mainland/Southwest,FRASER VALLEY,,139,137,2,1,4,,64,41,,25,1,1,,,,1,,77900499.00,560435.20,399100.00,1355668.80,4700.00
2016-10-22,Mainland/Southwest,FRASER VALLEY,,455,405,7,,3,1,149,100,2,143,3,1,,2,,19,28,184991149.00,406574.00,371000.00,2609432.59,4750.00
2016-06-01,Mainland/Southwest,METRO VANCOUVER,,1524,1476,14,,,10,554,591,7,300,44,16,15,13,1,3,,1856513623.00,1218184.80,600900.00,39339726.70,9740.00
2016-06-08,Mainland/Southwest,METRO VANCOUVER,,1216,1178,8,4,,14,437,480,5,230,37,18,13,6,,,1,1240796859.00,1020392.20,624000.00,24579490.17,10178.00
2016-06-15,Mainland/Southwest,METRO VANCOUVER,,1832,1787,15,1,,14,693,768,12,284,36,7,19,10,1,7,1,1996399603.00,1089737.80,636500.00,40568660.46,10557.36
2016-06-22,Mainland/Southwest,METRO VANCOUVER,,4720,4634,61,11,16,36,2168,1972,21,349,76,31,33,12,2,3,5,5056683260.00,1071331.20,728238.10,99455607.03,12500.00
2016-07-01,Mainland/Southwest,METRO VANCOUVER,,1378,1360,4,1,4,17,562,618,11,143,17,9,5,3,1,,,1494089439.00,1084244.90,700250.00,29990310.25,11779.00
2016-07-08,Mainland/Southwest,METRO VANCOUVER,,1774,1740,13,4,5,11,610,639,3,455,28,9,16,3,1,2,3,1579742993.00,890497.70,589450.00,28826794.91,9200.00
2016-07-15,Mainland/Southwest,METRO VANCOUVER,,1586,1553,12,9,3,19,624,635,13,238,23,9,8,6,,,10,1565037313.00,986782.70,680490.00,29720159.72,11468.15
2016-07-22,Mainland/Southwest,METRO VANCOUVER,,4302,4233,42,5,13,27,1860,1872,15,399,63,11,35,17,,1,5,4601509410.00,1069621.00,714894.00,90550661.94,12180.00
2016-08-01,Mainland/Southwest,METRO VANCOUVER,,1183,1155,14,,1,8,438,527,9,158,26,6,14,6,2,,,1190341241.00,1006205.60,638750.00,23322911.21,10700.00
2016-08-08,Mainland/Southwest,METRO VANCOUVER,,1007,981,6,6,1,8,395,417,11,137,24,8,11,5,1,,1,1053777286.00,1046452.10,663900.00,21141798.43,11020.00
2016-08-15,Mainland/Southwest,METRO VANCOUVER,,1526,1506,13,5,7,14,531,649,19,268,18,2,10,6,,1,1,1389630548.00,910636.00,626500.00,26141236.41,10149.00
2016-08-22,Mainland/Southwest,METRO VANCOUVER,,3378,3306,35,12,17,27,1341,1516,13,345,59,17,32,10,,8,5,3237890005.00,958522.80,668278.00,63087242.76,11300.00
2016-09-01,Mainland/Southwest,METRO VANCOUVER,,1024,995,7,1,1,14,330,490,9,143,26,8,16,2,1,2,,959894315.00,937396.80,582595.00,19500838.89,9010.00
2016-09-08,Mainland/Southwest,METRO VANCOUVER,,912,896,11,2,6,13,289,418,12,145,10,3,4,3,1,4,1,796218121.00,873046.20,589900.00,15404058.06,9201.01
2016-09-15,Mainland/Southwest,METRO VANCOUVER,,1155,1089,26,3,4,8,397,470,11,170,60,30,13,17,3,1,2,1241879230.00,1075220.10,622000.00,27273165.11,10400.00
2016-09-22,Mainland/Southwest,METRO VANCOUVER,,2777,2664,22,5,10,15,791,1185,13,623,108,63,21,24,1,3,1,3013571594.00,1085189.60,585000.00,65690765.36,9500.00
2016-10-01,Mainland/Southwest,METRO VANCOUVER,,796,765,5,5,1,11,225,309,5,204,28,8,11,9,,1,2,732055407.00,919667.60,567499.50,15135468.13,9000.00
2016-10-08,Mainland/Southwest,METRO VANCOUVER,,796,771,3,2,2,6,229,333,4,192,19,1,12,6,,,6,627638613.00,788490.70,520000.00,13231900.60,8279.00
2016-10-15,Mainland/Southwest,METRO VANCOUVER,,1123,1099,6,1,3,10,208,344,6,521,19,6,8,5,,,5,830971891.00,739957.20,479566.50,17786263.04,7050.00
2016-10-22,Mainland/Southwest,METRO VANCOUVER,,2124,2059,10,2,3,8,409,674,8,945,58,6,7,45,3,1,3,1776006197.00,836161.10,526845.00,38794354.96,8100.00
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,,51,42,2,1,,,19,15,5,,1,,1,,8,,,42637887.00,836037.00,557500.00,848067.78,9150.00
2016-06-08,Mainland/Southwest,SQUAMISH-LILLOOET,,42,33,3,,,,13,13,4,,1,1,,,8,,,25991999.00,618857.10,497925.00,476903.49,7958.50
2016-06-15,Mainland/Southwest,SQUAMISH-LILLOOET,,67,56,2,2,1,,16,28,5,2,2,1,1,,9,,,56690688.00,846129.70,454000.00,1145804.76,7080.00
2016-06-22,Mainland/Southwest,SQUAMISH-LILLOOET,,171,163,6,,,,68,64,23,2,2,,2,,5,,1,104449398.00,610815.20,474000.00,1826200.43,7480.00
2016-07-01,Mainland/Southwest,SQUAMISH-LILLOOET,,51,44,2,6,,,14,13,4,5,2,,1,1,4,1,,21023775.00,412230.90,339000.00,337747.75,4780.00
2016-07-08,Mainland/Southwest,SQUAMISH-LILLOOET,,62,34,1,1,,,19,9,3,1,26,,26,,2,,,37569183.00,605954.60,462727.50,628908.26,7254.55
2016-07-15,Mainland/Southwest,SQUAMISH-LILLOOET,,57,54,1,,,1,19,16,6,11,,,,,3,,,30129068.00,528580.10,385000.00,469172.44,4900.00
2016-07-22,Mainland/Southwest,SQUAMISH-LILLOOET,,115,108,8,,,1,36,55,6,2,3,1,2,,3,1,,69766457.00,606664.80,459000.00,1196600.85,7180.00
2016-08-01,Mainland/Southwest,SQUAMISH-LILLOOET,,53,53,2,,,1,17,17,1,15,,,,,,,,33552000.00,633056.60,427000.00,578425.00,6540.00
2016-08-08,Mainland/Southwest,SQUAMISH-LILLOOET,,42,36,1,,,,13,13,5,4,2,,1,1,2,2,,29195276.00,695125.60,624166.70,501334.57,9865.00
2016-08-15,Mainland/Southwest,SQUAMISH-LILLOOET,,58,52,3,,,,18,23,2,6,2,,2,,,4,,46169540.00,796026.50,506388.50,884098.84,8000.00
2016-08-22,Mainland/Southwest,SQUAMISH-LILLOOET,,120,114,5,2,1,,44,48,7,7,2,,2,,3,,1,87625478.00,730212.30,485000.00,1600782.60,7600.00
2016-09-01,Mainland/Southwest,SQUAMISH-LILLOOET,,64,61,5,,1,,22,19,9,5,1,,1,,2,,,33319100.00,520610.90,435000.00,536346.00,6150.00
2016-09-08,Mainland/Southwest,SQUAMISH-LILLOOET,,48,44,1,,1,,14,16,5,7,1,1,,,3,,,30102417.00,627133.70,437400.00,504345.17,6748.00
2016-09-15,Mainland/Southwest,SQUAMISH-LILLOOET,,53,49,1,,2,,12,28,6,,3,1,1,1,1,,,29986008.00,565773.70,420000.00,507416.95,6400.00
2016-09-22,Mainland/Southwest,SQUAMISH-LILLOOET,,105,97,6,,,,19,46,18,8,2,1,,1,4,,2,67086350.00,638917.60,429000.00,1235173.48,6580.00
2016-10-01,Mainland/Southwest,SQUAMISH-LILLOOET,,58,53,2,3,,,21,16,3,8,3,1,,2,2,,,37891461.00,653301.00,427017.20,636233.95,5719.00
2016-10-08,Mainland/Southwest,SQUAMISH-LILLOOET,,39,39,2,1,1,,12,14,5,4,,,,,,,,22370784.00,573609.80,475000.00,383240.68,7500.00
2016-10-15,Mainland/Southwest,SQUAMISH-LILLOOET,,39,35,5,,,,4,14,10,2,1,,,1,3,,,18356637.00,470683.00,320000.00,299633.75,4400.00
2016-10-22,Mainland/Southwest,SQUAMISH-LILLOOET,,100,90,7,1,,,18,24,8,32,2,,1,1,8,,,58585926.00,585859.30,419500.00,1022867.72,6336.61
2016-06-01,Mainland/Southwest,SUNSHINE COAST,,36,35,2,,,,25,3,,5,,,,,1,,,14947271.00,415202.00,305000.00,223560.00,3650.00
2016-06-08,Mainland/Southwest,SUNSHINE COAST,,40,36,4,,,,28,2,,2,1,1,,,2,,1,17932200.00,448305.00,329000.00,292961.50,4580.00
2016-06-15,Mainland/Southwest,SUNSHINE COAST,,53,51,8,,,1,36,6,,,,,,,,,2,23364319.00,440836.20,389000.00,353114.48,5500.00
2016-06-22,Mainland/Southwest,SUNSHINE COAST,,137,128,15,,1,,87,19,2,4,3,3,,,6,,,62003945.00,452583.50,380000.00,965673.19,5500.00
2016-07-01,Mainland/Southwest,SUNSHINE COAST,,44,41,6,,,,30,5,,,,,,,2,,1,20919110.00,475434.30,421300.00,327541.77,6341.00
2016-07-08,Mainland/Southwest,SUNSHINE COAST,,43,42,7,,,,29,5,,1,1,1,,,,,,18911340.00,439798.60,369000.00,290988.90,4990.00
2016-07-15,Mainland/Southwest,SUNSHINE COAST,,39,37,5,1,,1,26,3,1,,,,,,2,,,17652953.00,452639.80,389000.00,277095.59,5780.00
2016-07-22,Mainland/Southwest,SUNSHINE COAST,,91,89,10,1,,,65,11,,2,,,,,2,,,45096179.00,495562.40,419500.00,720515.73,6300.00
